component_id,component_name,architectural_kind,real_responsibility,logical_owner,current_state,future_role,current_runtime,dependencies,risks,decision,evidence
C01,"Structured Scientific Interpreter","CAPABILITY_MODULE","Interpréter la conversation en propositions structurées avec explicites, relations, temporalités, polarités, corrections, inconnues, ambiguïtés et provenance.","Scientific Interpretation capability; Research Project owns only adopted output","Produit couplé au SEM legacy; candidat PydanticAI observé dans Engine Lab, 24/24 sorties primaires structurées valides, non intégré.","Premier passage du HYBRID_SCIENTIFIC_RUNTIME_V1; producteur de Candidate Scientific State, jamais décideur.","NOXIA_SEM_FULL_AND_SINGLE_LEGACY; PYDANTICAI_DIRECT_EXPERIMENTAL candidate","Conversation; raw retention; Candidate State contract; guards; Human Decision Envelope","Perte de relations/provenance/historique; promotion silencieuse; confusion prototype/produit.","REPLACE_RUNTIME","src/features/scientific-semantic-reconstruction/; experiments/engine-lab/tasks/hybrid-runtime-prototype/; docs/hybrid-runtime-prototype-01-report.md"
C02,"SEM Full legacy","RUNTIME","Reconstruction, critic, canonicalisation, couverture, Knowledge check, session et routing dans une topologie legacy.","Aucun ownership scientifique autonome; Research Project owns adopted state","Runtime historique préservé; 305 tests locaux historiques; qualification structurelle inconclusive; registry status ARCHIVED.","Corpus de non-régression, preuve historique et rollback borné jusqu'à la décision de clôture.","NOXIA_SEM_FULL_LEGACY","Provider; prompts; schema; critic; canonicalizer; adapters downstream; campaign fixtures","Couplage V1; variabilité; sur-ajustement benchmark; dépendances produit cachées.","ARCHIVE","src/features/scientific-semantic-reconstruction/; api/scientific-semantic.ts; semantic-validation/; docs/sem-001r-scientific-semantic-reconstruction-closure-report.md"
C03,"SEM Single","RUNTIME","Produire une reconstruction legacy en un passage et fournir une baseline/branche recyclable.","Aucun ownership scientifique autonome","Préservé et LAB_READY; non qualifié comme runtime d'audit produit.","Réservoir de composants et garanties pour SEM-AUDIT-L, pas chemin produit autonome.","NOXIA_SEM_SINGLE_LEGACY","SEM prompts/schema/provider; experiment adapters; audit contract","Recréer un second moteur complet; réintroduire le critic systématique; dérive de contrat.","RECYCLE","experiments/engine-lab/registry/engine-registry.json; experiments/semantic-engine-comparison/common_contract_ablation_02/sem_pair_runner.ts"
C04,"SEM-AUDIT-D","CAPABILITY_MODULE","Vérifier déterministement invariants, provenance, ownership, polarité, relations, historique et présence du brut; émettre des findings non mutants.","Semantic Audit capability; Human Decision owns disposition","Prototype Engine Lab avec gardes génériques et tests; non intégré et non admis.","Garde obligatoire avant trigger d'audit conditionnel et avant tout handoff humain.","SEM_AUDIT_D_EXPERIMENTAL","Candidate State; previous state; raw evidence; confirmed decisions","Faux sentiment de sécurité; règles trop larges; confusion avec VAL; auto-correction interdite.","KEEP_AND_STRENGTHEN","experiments/engine-lab/tasks/semantic-audit/; experiments/engine-lab/tasks/hybrid-runtime-prototype/audit/deterministic_adapter.py"
C05,"SEM-AUDIT-L","RUNTIME","Rechercher conditionnellement des dérives sémantiques non couvertes par les gardes et retourner seulement des findings traçables.","Semantic Audit capability; Human Decision owns disposition","23/23 sorties valides dans le prototype; 13 findings; non intégré et non qualifié.","Second regard conditionnel, fail-closed, déclenché par risque; jamais reconstructeur principal ni décideur.","SEM_AUDIT_L_EXPERIMENTAL","Triggers; Candidate State; conversation; raw evidence; provider; findings contract","Coût/variabilité; sur-déclenchement; hallucination de findings; mutation déguisée.","RECYCLE","experiments/engine-lab/tasks/hybrid-runtime-prototype/audit/semantic_audit_l.py; experiments/engine-lab/results/hybrid-runtime-prototype-01/metrics.json"
C06,"Research Project","SOURCE_OF_TRUTH_OWNER","Conserver la stratégie et les décisions de projet adoptées, versionnées, avec acteurs, mandats, dépendances et historique.","Research Project","Implémentation PRJ V1 active et testée; explicitement legacy-compatible, non conforme PD-003 V2.","Unique owner de l'état projet adopté; reçoit un handoff V2 après Human Decision Envelope.","NOXIA_PRJ_V1","Validated intent; Human Decision Envelope; Knowledge; Scientific Thinking; Imaging; future V2 adapter","Écriture prématurée; mapping V1/V2 implicite; duplication de truth; perte de lineage.","KEEP_AND_STRENGTHEN","src/features/research-project-construction/; docs/prj-001-research-project-construction-v1-implementation-report.md; docs/pd-003-v2-engine-impact-matrix.md"
C07,"Knowledge","SOURCE_OF_TRUTH_OWNER","Qualifier connaissances générales, assertions, preuves, contradictions, limites et applicabilité sans décider le projet.","Knowledge","Knowledge Engine V1.1 implémenté avec limitations; vérification aussi appelée depuis SEM legacy.","Support du Scientific Core par requêtes bornées; retour de preuves/candidats, jamais adoption Project.","KNOWLEDGE_ENGINE_V1_1","Catalogs; assertions; external evidence policy; context package; Project/Interpreter requests","Support transformé en décision; provenance ou temporalité insuffisante; couplage au Semantic Model legacy.","KEEP_AND_STRENGTHEN","src/features/knowledge-engine/; src/features/scientific-semantic-reconstruction/knowledge.ts; docs/eng-002-knowledge-engine-v1-1-consolidation-report.md"
C08,"OBS","CAPABILITY_MODULE","Distinguer et qualifier ScientificModel, ObservableProperty, MeasurementDefinition, mesure et BiomarkerRole; produire un handoff explicite.","OBS for measurement semantics; Research Project for adopted selection","Architecture et contrats documentaires admis; aucun runtime produit observé.","Frontière spécialisée entre raisonnement, mesure, Imaging, CDM et Project.","NONE_OBS_PRODUCT_RUNTIME","PD-003 V2; Scientific Model; Knowledge; Imaging; CDM; Project handoff","Confusion méthode/mesure/biomarqueur/endpoint; création prématurée d'objets V2; autorité simulée.","DEFER","docs/obs-001-observability-measurement-architecture.md; docs/obs-001-project-handoff-contract.md; docs/obs-001-engine-impact-matrix.md"
C09,"Scientific Thinking","CAPABILITY_MODULE","Formuler, comparer et tracer ScientificModels, hypothèses, alternatives et questions à partir du contexte autorisé.","Scientific Thinking capability; Research Project adopts","Runtime V1 implémenté; reçoit des références SEM indirectes; objets historiques non alignés V2.","Capacité simplifiée de raisonnement candidat, intégrée au Scientific Core et séparée de l'adoption.","NOXIA_ST_V1","Validated intent; Knowledge; Candidate/Project state; Human Decision; Imaging handoff","Moteur autonome de vérité; duplication ScientificModel; auto-adoption; concepts V1 persistants.","SIMPLIFY","src/features/scientific-thinking/; docs/st-001-scientific-thinking-engine-v1-implementation-report.md; docs/pd-003-v2-engine-impact-matrix.md"
C10,"Imaging","CAPABILITY_MODULE","Traduire des objectifs et modèles en stratégie d'imagerie, observables, mesures et analyses candidates traçables.","Imaging capability; Research Project adopts; OBS owns measurement semantics","Imaging Study Designer V1 implémenté; graphes PHENOMENON/BIOMARKER/MODALITY legacy.","Spécialisation scientifique consommant des objets V2/OBS et produisant un handoff versionné.","NOXIA_IMG_V1","Scientific Thinking; OBS; Knowledge; Project; Human Decision; technical constraints","Biomarqueur monolithique; sélection automatique; paramètres constructeur; rupture handoff V1/V2.","KEEP_AND_STRENGTHEN","src/features/imaging-study-designer/; docs/img-001-imaging-study-designer-v1-implementation-report.md; docs/rde-003-imaging-engine-architecture.md"
C11,"Validation","CAPABILITY_MODULE","Diagnostiquer la préservation d'invariants, décisions, provenance et transformations entre artefacts; soutenir PD-011 sans s'auto-qualifier.","Validation capability; PD-011 owns formal evaluation decision","VAL v0 diagnostique implémenté; VAL-SEM-ST-001 futur/pending sans runner.","Validation transversale des frontières Hybrid, V2 et projections; distincte de SEM-AUDIT.","NOXIA_VAL_V0_DIAGNOSTIC","Source/target artifacts; invariants; Human Decisions; SEM-AUDIT findings; PD-011","Fusion audit/validation; PASS auto-déclaré; correction de l'artefact par l'évaluateur.","KEEP_AND_STRENGTHEN","src/features/validation-architecture/; docs/val-000-semantic-reasoning-validation-architecture-report.md"
C12,"Document Projection","PROJECTION","Planifier, composer et rendre des documents déclaratifs depuis l'état gouverné, avec sections et readiness explicites.","Research Project/source domains own content; projection owns rendering trace","DOC-001 V1 implémenté; protocole première projection; intégration templates/editorial existante.","Famille de projections génériques (Protocol, Synopsis, Funding, Publication) sans modifier le moteur pour chaque type.","DOCUMENT_PROJECTION_ENGINE_V1","Research Project; ProjectionDefinition; SectionDefinition; Template Engine; Editorial Engine; Human Decisions","Document comme seconde vérité; sections codées en dur; complétion silencieuse; disponibilité surdéclarée.","KEEP_AND_STRENGTHEN","src/features/document-projection/; docs/document-projection-engine-architecture.md; docs/doc-001-document-projection-engine-v1-report.md"
C13,"Template Engine","CAPABILITY_MODULE","Composer déterministement des définitions et patrons documentaires versionnés sans posséder le contenu scientifique.","Template catalog owner; source domains own semantics","TMP-001 implémenté; 23 définitions observées; seul Protocol rendu activement selon le rapport de transition.","Fournir des configurations aux projections, sans classe spécifique par document.","STUDY_TEMPLATE_ENGINE_V1","Template catalog; document definitions; projection planner; regulatory requirements","Patron normatif implicite; duplication documentaire; template qui invente une décision.","KEEP","src/features/study-template/; docs/tmp-001-study-template-engine-report.md"
C14,"Regulatory","CAPABILITY_MODULE","Résoudre des exigences réglementaires applicables de manière bornée, datée, traçable et non décisionnelle.","Regulatory resolution capability; authorized human/Project adopts","REG-001 resolver déterministe implémenté sur corpus borné; corpus REG-000 distinct.","Retourner exigences et inconnues qualifiées aux décisions Project et projections.","REGULATORY_RESOLUTION_V1","Regulatory corpus; jurisdiction/date/context; Project; Templates; Documents","Applicabilité obsolète; qualification juridique inventée; adoption automatique; corpus incomplet.","KEEP","src/features/regulatory-resolution/; docs/reg-000-regulatory-funding-corpus-report.md"
C15,"QRY","CAPABILITY_MODULE","Sélectionner la prochaine question ou action qui réduit une incertitude utile à une décision ouverte.","QRY selects action; Research Project owns answers adopted into state","Frontière Engine Lab définie; aucun runtime implémenté.","Contrôleur de clarification et de progression après stabilisation du Candidate/Project state.","NONE_QRY_RUNTIME","PD-009; Candidate/Project state; unknowns; ambiguity; Knowledge requests; question history","Chatbot générique; FINISH/STOP injustifié; répétition; question sans valeur décisionnelle.","DEFER","experiments/engine-lab/registry/qry-boundary-contract.json; docs/pd-009-decision-engine-architecture.md"
C16,"Adaptive Research Workspace","PROJECTION","Présenter l'état scientifique vivant, les dépendances, inconnues, contradictions, décisions et prochaines actions selon le rôle.","Research Project and source domains own state; workspace owns no truth","Workspace produit V1 présent autour du Protocol Designer et de vues spécialisées; dépendances SEM legacy.","Projection adaptative du Research Project V2 et des capacités; interface pour Human Decision et QRY.","PROTOCOL_DESIGNER_V1_WORKSPACE","Research Project; QRY; Knowledge; OBS; ST; Imaging; Validation; Documents; role/permissions","UI comme source de vérité; masquage des inconnues; état local concurrent; couplage runtime.","KEEP_AND_STRENGTHEN","src/pages/ProtocolDesignerDemo.tsx; src/features/protocol-designer/; docs/p-web-06c-protocol-designer-v1-closure.md"
